panel,sample,Final_Taxonomy,response,response_value,predictor,predictor_value
High_affinity,C_0h,Pseudomonadales,pst_pit,7.78794686953873,PO4,0.069122965
High_affinity,C_72h,Pseudomonadales,pst_pit,9.646370888361519,PO4,0.057818774
High_affinity,R_0h,Pseudomonadales,pst_pit,7.24262105212599,PO4,0.070186643
High_affinity,R_72h,Pseudomonadales,pst_pit,5.34782363321551,PO4,0.071036702
High_affinity,R+P_0h,Pseudomonadales,pst_pit,3.33152793389694,PO4,1.5573182465
High_affinity,R+P_72h,Pseudomonadales,pst_pit,4.021468639745191,PO4,0.242892334
High_affinity,C_0h,Rhodobacterales,pst_pit,17.297217199296124,PO4,0.069122965
High_affinity,C_72h,Rhodobacterales,pst_pit,32.08111147786157,PO4,0.057818774
High_affinity,R_0h,Rhodobacterales,pst_pit,40.525498262564575,PO4,0.070186643
High_affinity,R_72h,Rhodobacterales,pst_pit,42.55246174629791,PO4,0.071036702
High_affinity,R+P_0h,Rhodobacterales,pst_pit,1.4470998877685632,PO4,1.5573182465
High_affinity,R+P_72h,Rhodobacterales,pst_pit,4.061510635067894,PO4,0.242892334
Low_affinity,C_0h,Diatom,nptA,10848.9602618858,PO4,0.069122965
Low_affinity,C_72h,Diatom,nptA,1634.90328054299,PO4,0.057818774
Low_affinity,R_0h,Diatom,nptA,17543.9851024494,PO4,0.070186643
Low_affinity,R_72h,Diatom,nptA,7571.4218282579895,PO4,0.071036702
Low_affinity,R+P_0h,Diatom,nptA,164.529129580741,PO4,1.5573182465
Low_affinity,R+P_72h,Diatom,nptA,367.408498974711,PO4,0.242892334
P_mobilization,C_0h,Bacteroidota,ppA,21.1043322590734,DIN,0.3363180135
P_mobilization,C_72h,Bacteroidota,ppA,26.6386319703239,DIN,1.169227641
P_mobilization,R_0h,Bacteroidota,ppA,206.500789715837,DIN,3.076897441
P_mobilization,R_72h,Bacteroidota,ppA,86.0682247342619,DIN,1.1710586885
P_mobilization,R+P_0h,Bacteroidota,ppA,155.971132409807,DIN,2.9661333005
P_mobilization,R+P_72h,Bacteroidota,ppA,23.850551051031,DIN,1.397598706
P_mobilization,C_0h,Diatom,ppA,949.95716898369,DIN,0.3363180135
P_mobilization,C_72h,Diatom,ppA,709.448658934808,DIN,1.169227641
P_mobilization,R_0h,Diatom,ppA,4571.42191369039,DIN,3.076897441
P_mobilization,R_72h,Diatom,ppA,828.210947108564,DIN,1.1710586885
P_mobilization,R+P_0h,Diatom,ppA,2405.38331269019,DIN,2.9661333005
P_mobilization,R+P_72h,Diatom,ppA,596.973864495672,DIN,1.397598706
Organic_P,C_0h,Pseudomonadales,phoA,81.7470425494028,NP,5.1203567495
Organic_P,C_72h,Pseudomonadales,phoA,30.5338725355877,NP,24.5816051335
Organic_P,R_0h,Pseudomonadales,phoA,436.35129399577,NP,44.020919165
Organic_P,R_72h,Pseudomonadales,phoA,401.762425931789,NP,16.7498758205
